iter	Passed	Remaining
0	155	154883
1	160	80008
2	165	54869
3	170	42360
4	176	35062
5	179	29810
6	184	26153
7	188	23385
8	193	21289
9	197	19559
10	201	18138
11	206	16975
12	212	16135
13	218	15366
14	230	15111
15	236	14567
16	244	14151
17	250	13651
18	258	13329
19	263	12889
20	268	12517
21	273	12159
22	278	11847
23	285	11613
24	291	11371
25	296	11109
26	301	10872
27	306	10651
28	312	10452
29	319	10320
30	330	10320
31	342	10348
32	348	10225
33	354	10074
34	359	9905
35	364	9757
36	368	9600
37	373	9452
38	378	9325
39	384	9217
40	389	9107
41	395	9010
42	400	8908
43	405	8819
44	410	8704
45	415	8621
46	420	8523
47	424	8421
48	429	8341
49	434	8257
50	438	8166
51	443	8087
52	448	8019
53	453	7948
54	458	7872
55	464	7825
56	468	7752
57	472	7681
58	478	7635
59	483	7569
60	487	7511
61	493	7460
62	497	7400
63	501	7340
64	506	7282
65	511	7236
66	516	7190
67	521	7148
68	527	7117
69	531	7067
70	536	7022
71	542	6991
72	547	6953
73	551	6907
74	555	6854
75	560	6815
76	564	6771
77	569	6736
78	575	6705
79	579	6669
80	584	6628
81	589	6598
82	593	6562
83	598	6529
84	603	6497
85	608	6463
86	612	6431
87	617	6394
88	622	6367
89	627	6339
90	631	6306
91	635	6275
92	640	6250
93	645	6224
94	650	6194
95	655	6173
96	660	6145
97	664	6115
98	669	6090
99	673	6062
100	677	6033
101	682	6004
102	687	5989
103	692	5964
104	696	5938
105	701	5918
106	706	5893
107	710	5868
108	715	5845
109	719	5822
110	723	5798
111	728	5774
112	733	5753
113	737	5732
114	741	5708
115	746	5689
116	751	5673
117	756	5651
118	760	5629
119	765	5616
120	770	5596
121	774	5577
122	781	5571
123	786	5553
124	790	5533
125	795	5514
126	799	5496
127	804	5477
128	808	5460
129	813	5445
130	817	5421
131	821	5404
132	826	5385
133	831	5372
134	835	5355
135	840	5337
136	843	5310
137	847	5296
138	852	5279
139	856	5262
140	861	5247
141	865	5232
142	870	5216
143	874	5199
144	879	5187
145	885	5177
146	889	5162
147	894	5152
148	900	5140
149	904	5125
150	909	5114
151	915	5104
152	919	5089
153	923	5073
154	928	5061
155	932	5045
156	936	5031
157	941	5017
158	946	5005
159	950	4991
160	955	4977
161	960	4967
162	964	4952
163	968	4938
164	973	4925
165	978	4914
166	982	4902
167	987	4891
168	993	4882
169	997	4870
170	1002	4858
171	1007	4851
172	1012	4839
173	1017	4830
174	1022	4819
175	1026	4807
176	1032	4798
177	1037	4790
178	1042	4782
179	1047	4773
180	1052	4764
181	1058	4757
182	1063	4747
183	1068	4737
184	1073	4729
185	1078	4720
186	1083	4712
187	1090	4710
188	1095	4702
189	1100	4691
190	1106	4686
191	1112	4680
192	1117	4670
193	1122	4663
194	1127	4655
195	1133	4651
196	1139	4643
197	1143	4633
198	1148	4624
199	1154	4617
200	1159	4609
201	1164	4602
202	1171	4599
203	1176	4591
204	1182	4585
205	1187	4576
206	1192	4567
207	1198	4563
208	1203	4556
209	1209	4548
210	1215	4546
211	1221	4539
212	1226	4531
213	1231	4524
214	1236	4516
215	1242	4508
216	1247	4502
217	1253	4495
218	1258	4489
219	1264	4484
220	1269	4476
221	1274	4467
222	1280	4461
223	1285	4452
224	1290	4444
225	1296	4441
226	1301	4433
227	1308	4429
228	1315	4428
229	1320	4421
230	1325	4412
231	1331	4407
232	1336	4400
233	1341	4391
234	1347	4387
235	1353	4380
236	1358	4374
237	1364	4367
238	1369	4361
239	1375	4356
240	1380	4349
241	1385	4340
242	1391	4334
243	1396	4327
244	1401	4319
245	1404	4305
246	1411	4302
247	1416	4294
248	1421	4288
249	1427	4283
250	1433	4276
251	1438	4269
252	1444	4265
253	1449	4258
254	1455	4253
255	1461	4246
256	1466	4238
257	1471	4230
258	1476	4224
259	1481	4217
260	1487	4211
261	1492	4203
262	1497	4195
263	1503	4192
264	1509	4185
265	1514	4178
266	1520	4174
267	1526	4168
268	1531	4162
269	1539	4161
270	1544	4153
271	1549	4148
272	1557	4147
273	1563	4142
274	1571	4142
275	1576	4136
276	1582	4130
277	1588	4126
278	1593	4119
279	1599	4111
280	1605	4107
281	1610	4101
282	1616	4094
283	1622	4089
284	1626	4080
285	1631	4071
286	1635	4064
287	1640	4055
288	1645	4047
289	1650	4040
290	1654	4032
291	1659	4023
292	1664	4015
293	1668	4007
294	1673	3999
295	1678	3991
296	1682	3983
297	1688	3976
298	1692	3968
299	1697	3959
300	1701	3951
301	1706	3943
302	1710	3934
303	1715	3928
304	1720	3920
305	1724	3911
306	1729	3903
307	1734	3896
308	1738	3888
309	1743	3879
310	1747	3871
311	1752	3863
312	1756	3855
313	1761	3847
